"id","user_hash","time","old_status","old_is_on_mobile","old_activity","new_status","new_is_on_mobile","new_activity"
2644,Coyote,2025-10-26 17:06:14.670 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2643,Coyote,2025-10-26 17:06:08.814 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2642,Greyhound,2025-10-26 17:05:08.415 +0100,offline,false,,online,true,
2641,Mantis,2025-10-26 17:00:54.563 +0100,online,true,,offline,false,
2640,Mantis,2025-10-26 16:58:16.065 +0100,offline,false,,online,true,
2639,Heron,2025-10-26 16:56:28.182 +0100,online,true,,online,false,
2638,Mantis,2025-10-26 16:54:31.298 +0100,online,true,,offline,false,
2637,Heron,2025-10-26 16:54:11.295 +0100,online,false,,online,true,
2636,Mantis,2025-10-26 16:50:37.343 +0100,offline,false,,online,true,
2635,Heron,2025-10-26 16:47:51.012 +0100,online,false,VALORANT,online,false,
2634,Heron,2025-10-26 16:47:50.728 +0100,online,false,Valorant Tracker App,online,false,VALORANT
2633,Heron,2025-10-26 16:47:47.358 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2632,Heron,2025-10-26 16:45:10.812 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2631,Heron,2025-10-26 16:45:08.829 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2630,Heron,2025-10-26 16:44:49.586 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2629,Heron,2025-10-26 16:44:47.586 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2628,PrairieDog,2025-10-26 16:42:16.293 +0100,online,false,Battlefield 6,online,false,
2627,Penguin,2025-10-26 16:42:15.246 +0100,online,false,Playing some music. • Betty.bot,online,false,Listening to music. • Betty.bot
2626,Heron,2025-10-26 16:41:59.022 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2625,PrairieDog,2025-10-26 16:41:26.119 +0100,online,false,Battlefield 6,online,false,Battlefield 6
2624,Pheasant,2025-10-26 16:40:39.819 +0100,offline,false,,online,false,
2623,Heron,2025-10-26 16:40:10.035 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2622,PrairieDog,2025-10-26 16:39:40.663 +0100,online,false,,online,false,Battlefield 6
2621,PrairieDog,2025-10-26 16:39:35.657 +0100,online,false,Battlefield 6,online,false,
2620,Heron,2025-10-26 16:38:28.040 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2619,Heron,2025-10-26 16:36:59.193 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2618,Fish,2025-10-26 16:35:20.723 +0100,online,false,Hydroneer,online,false,Hydroneer
2617,Heron,2025-10-26 16:35:07.268 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2616,Heron,2025-10-26 16:33:43.498 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2615,Coyote,2025-10-26 16:33:09.393 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2614,Fish,2025-10-26 16:32:15.351 +0100,online,false,Hydroneer,online,false,Hydroneer
2613,Heron,2025-10-26 16:31:53.462 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2612,Heron,2025-10-26 16:30:20.651 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2611,Coyote,2025-10-26 16:29:49.090 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2610,Coyote,2025-10-26 16:28:47.987 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2609,Coyote,2025-10-26 16:28:43.081 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2608,Heron,2025-10-26 16:28:40.703 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2607,Fish,2025-10-26 16:28:39.720 +0100,online,false,Hydroneer,online,false,Hydroneer
2606,Coyote,2025-10-26 16:27:03.431 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2605,Elk,2025-10-26 16:27:02.028 +0100,offline,false,,online,true,Overwatch 2
2604,Heron,2025-10-26 16:26:56.725 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2603,Coyote,2025-10-26 16:26:13.393 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2602,Coyote,2025-10-26 16:26:08.343 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2601,Coyote,2025-10-26 16:25:58.317 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2600,Coyote,2025-10-26 16:25:53.297 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2599,Coyote,2025-10-26 16:25:28.252 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2598,Heron,2025-10-26 16:25:14.755 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2597,Coyote,2025-10-26 16:24:48.216 +0100,online,false,,online,false,Strawberry Tasty!
2596,Coyote,2025-10-26 16:24:42.932 +0100,offline,false,,online,false,
2595,Fish,2025-10-26 16:24:42.122 +0100,online,false,Hydroneer,online,false,Hydroneer
2594,Coyote,2025-10-26 16:24:37.882 +0100,online,false,Strawberry Tasty!,offline,false,
2593,Heron,2025-10-26 16:23:07.593 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2592,Heron,2025-10-26 16:21:30.618 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2591,Mantis,2025-10-26 16:21:04.334 +0100,idle,false,,offline,false,
2590,Fish,2025-10-26 16:21:03.335 +0100,online,false,Hydroneer,online,false,Hydroneer
2589,Coyote,2025-10-26 16:20:56.262 +0100,online,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2588,Heron,2025-10-26 16:19:56.694 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2587,Coyote,2025-10-26 16:19:56.140 +0100,idle,false,Strawberry Tasty!,online,false,Strawberry Tasty!
2586,Fish,2025-10-26 16:18:07.971 +0100,online,false,Hydroneer,online,false,Hydroneer
2585,Heron,2025-10-26 16:18:06.648 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2584,Heron,2025-10-26 16:16:14.596 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2583,Heron,2025-10-26 16:14:51.885 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2582,Fish,2025-10-26 16:14:50.203 +0100,online,false,Hydroneer,online,false,Hydroneer
2581,Heron,2025-10-26 16:12:34.688 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2580,Pheasant,2025-10-26 16:11:26.599 +0100,online,false,,offline,false,
2579,Heron,2025-10-26 16:11:06.923 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2578,Fish,2025-10-26 16:10:01.356 +0100,online,false,Hydroneer,online,false,Hydroneer
2577,Heron,2025-10-26 16:09:10.872 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2576,Kudu,2025-10-26 16:08:16.724 +0100,idle,false,is the partytent open on the side?,online,false,is the partytent open on the side?
2575,Pheasant,2025-10-26 16:07:11.025 +0100,offline,false,,online,false,
2574,Heron,2025-10-26 16:07:06.745 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2573,Fish,2025-10-26 16:06:40.138 +0100,online,false,Hydroneer,online,false,Hydroneer
2572,Heron,2025-10-26 16:05:21.797 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2571,Greyhound,2025-10-26 16:04:43.132 +0100,idle,false,,offline,false,
2570,Heron,2025-10-26 16:04:02.257 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2569,Greyhound,2025-10-26 16:03:10.026 +0100,online,false,,idle,false,
2568,Fish,2025-10-26 16:02:54.237 +0100,online,false,Hydroneer,online,false,Hydroneer
2567,Heron,2025-10-26 16:02:17.438 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2566,Heron,2025-10-26 16:02:16.638 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2565,Heron,2025-10-26 16:02:16.436 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2564,Fish,2025-10-26 16:01:56.003 +0100,online,false,Spotify,online,false,Hydroneer
2563,Mantis,2025-10-26 16:00:56.784 +0100,online,false,,idle,false,
2562,Heron,2025-10-26 16:00:21.522 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2561,Fish,2025-10-26 15:59:54.311 +0100,online,false,Spotify,online,false,Spotify
2560,Kudu,2025-10-26 15:58:56.226 +0100,online,false,is the partytent open on the side?,idle,false,is the partytent open on the side?
